dataset,article,strategy,classification,refusal_subtype,char_len
allsides,allsides_abortion_c_1,cot_fewshot_mft,no_summary,,3162
allsides,allsides_abortion_c_1,cot_fewshot,no_summary,,2819
allsides,allsides_abortion_c_1,cot,ok,,3044
allsides,allsides_abortion_c_1,oracle,ok,,2871
allsides,allsides_abortion_c_1,simple_fewshot_mft,ok,,3117
allsides,allsides_abortion_c_1,simple_fewshot,ok,,2579
allsides,allsides_abortion_c_1,simple,ok,,2552
allsides,allsides_abortion_c_1,vanilla,ok,,1699
allsides,allsides_abortion_c_5,cot_fewshot_mft,no_summary,,10196
allsides,allsides_abortion_c_5,cot_fewshot,no_summary,,13171
allsides,allsides_abortion_c_5,cot,ok,,4357
allsides,allsides_abortion_c_5,oracle,ok,,2405
allsides,allsides_abortion_c_5,simple_fewshot_mft,ok,,3785
allsides,allsides_abortion_c_5,simple_fewshot,ok,,2898
allsides,allsides_abortion_c_5,simple,ok,,2718
allsides,allsides_abortion_c_5,vanilla,ok,,2265
allsides,allsides_abortion_l_1,cot_fewshot_mft,no_summary,,4277
allsides,allsides_abortion_l_1,cot_fewshot,no_summary,,2706
allsides,allsides_abortion_l_1,cot,ok,,2955
allsides,allsides_abortion_l_1,oracle,ok,,2803
allsides,allsides_abortion_l_1,simple_fewshot_mft,ok,,2963
allsides,allsides_abortion_l_1,simple_fewshot,ok,,3135
allsides,allsides_abortion_l_1,simple,ok,,2787
allsides,allsides_abortion_l_1,vanilla,ok,,2666
allsides,allsides_abortion_l_5,cot_fewshot_mft,no_summary,,3410
allsides,allsides_abortion_l_5,cot_fewshot,no_summary,,4673
allsides,allsides_abortion_l_5,cot,ok,,3485
allsides,allsides_abortion_l_5,oracle,ok,,2878
allsides,allsides_abortion_l_5,simple_fewshot_mft,no_summary,,3977
allsides,allsides_abortion_l_5,simple_fewshot,no_summary,,5482
allsides,allsides_abortion_l_5,simple,ok,,2241
allsides,allsides_abortion_l_5,vanilla,ok,,2680
allsides,allsides_abortion_r_4,cot_fewshot_mft,no_summary,,11947
allsides,allsides_abortion_r_4,cot_fewshot,ok,,3129
allsides,allsides_abortion_r_4,cot,no_summary,,12309
allsides,allsides_abortion_r_4,oracle,ok,,3396
allsides,allsides_abortion_r_4,simple_fewshot_mft,ok,,3883
allsides,allsides_abortion_r_4,simple_fewshot,ok,,2909
allsides,allsides_abortion_r_4,simple,ok,,2597
allsides,allsides_abortion_r_4,vanilla,ok,,2357
allsides,allsides_coronavirus_c_5,cot_fewshot_mft,ok,,3050
allsides,allsides_coronavirus_c_5,cot_fewshot,ok,,2976
allsides,allsides_coronavirus_c_5,cot,ok,,2587
allsides,allsides_coronavirus_c_5,oracle,ok,,2792
allsides,allsides_coronavirus_c_5,simple_fewshot_mft,ok,,3126
allsides,allsides_coronavirus_c_5,simple_fewshot,no_summary,,3338
allsides,allsides_coronavirus_c_5,simple,ok,,2957
allsides,allsides_coronavirus_c_5,vanilla,no_summary,,2956
allsides,allsides_elections_c_5,cot_fewshot_mft,ok,,2913
allsides,allsides_elections_c_5,cot_fewshot,no_summary,,3941
allsides,allsides_elections_c_5,cot,ok,,3076
allsides,allsides_elections_c_5,oracle,ok,,2610
allsides,allsides_elections_c_5,simple_fewshot_mft,ok,,2815
allsides,allsides_elections_c_5,simple_fewshot,ok,,2615
allsides,allsides_elections_c_5,simple,ok,,2555
allsides,allsides_elections_c_5,vanilla,ok,,2212
allsides,allsides_elections_l_2,cot_fewshot_mft,ok,,3036
allsides,allsides_elections_l_2,cot_fewshot,ok,,2893
allsides,allsides_elections_l_2,cot,ok,,2601
allsides,allsides_elections_l_2,oracle,ok,,2506
allsides,allsides_elections_l_2,simple_fewshot_mft,ok,,3131
allsides,allsides_elections_l_2,simple_fewshot,ok,,3071
allsides,allsides_elections_l_2,simple,ok,,2291
allsides,allsides_elections_l_2,vanilla,ok,,2446
allsides,allsides_elections_l_4,cot_fewshot_mft,ok,,3905
allsides,allsides_elections_l_4,cot_fewshot,ok,,3629
allsides,allsides_elections_l_4,cot,ok,,3512
allsides,allsides_elections_l_4,oracle,ok,,2289
allsides,allsides_elections_l_4,simple_fewshot_mft,ok,,2541
allsides,allsides_elections_l_4,simple_fewshot,ok,,3472
allsides,allsides_elections_l_4,simple,ok,,1793
allsides,allsides_elections_l_4,vanilla,ok,,2516
allsides,allsides_elections_r_2,cot_fewshot_mft,ok,,3166
allsides,allsides_elections_r_2,cot_fewshot,ok,,3126
allsides,allsides_elections_r_2,cot,no_summary,,11727
allsides,allsides_elections_r_2,oracle,ok,,2073
allsides,allsides_elections_r_2,simple_fewshot_mft,ok,,4798
allsides,allsides_elections_r_2,simple_fewshot,ok,,2799
allsides,allsides_elections_r_2,simple,ok,,2218
allsides,allsides_elections_r_2,vanilla,ok,,2851
allsides,allsides_gun_control_and_gun_rights_c_1,cot_fewshot_mft,ok,,2885
allsides,allsides_gun_control_and_gun_rights_c_1,cot_fewshot,ok,,2415
allsides,allsides_gun_control_and_gun_rights_c_1,cot,ok,,3611
allsides,allsides_gun_control_and_gun_rights_c_1,oracle,ok,,3549
allsides,allsides_gun_control_and_gun_rights_c_1,simple_fewshot_mft,ok,,3289
allsides,allsides_gun_control_and_gun_rights_c_1,simple_fewshot,no_summary,,2115
allsides,allsides_gun_control_and_gun_rights_c_1,simple,ok,,2337
allsides,allsides_gun_control_and_gun_rights_c_1,vanilla,ok,,2291
allsides,allsides_gun_control_and_gun_rights_l_1,cot_fewshot_mft,no_summary,,3535
allsides,allsides_gun_control_and_gun_rights_l_1,cot_fewshot,no_summary,,3434
allsides,allsides_gun_control_and_gun_rights_l_1,cot,ok,,2897
allsides,allsides_gun_control_and_gun_rights_l_1,oracle,ok,,3245
allsides,allsides_gun_control_and_gun_rights_l_1,simple_fewshot_mft,ok,,2715
allsides,allsides_gun_control_and_gun_rights_l_1,simple_fewshot,ok,,1832
allsides,allsides_gun_control_and_gun_rights_l_1,simple,ok,,2736
allsides,allsides_gun_control_and_gun_rights_l_1,vanilla,ok,,2533
allsides,allsides_gun_control_and_gun_rights_l_4,cot_fewshot_mft,ok,,2422
allsides,allsides_gun_control_and_gun_rights_l_4,cot_fewshot,no_summary,,12436
allsides,allsides_gun_control_and_gun_rights_l_4,cot,ok,,2496
allsides,allsides_gun_control_and_gun_rights_l_4,oracle,ok,,2251
allsides,allsides_gun_control_and_gun_rights_l_4,simple_fewshot_mft,ok,,2589
allsides,allsides_gun_control_and_gun_rights_l_4,simple_fewshot,ok,,1633
allsides,allsides_gun_control_and_gun_rights_l_4,simple,ok,,5328
allsides,allsides_gun_control_and_gun_rights_l_4,vanilla,ok,,2225
allsides,allsides_gun_control_and_gun_rights_r_5,cot_fewshot_mft,no_summary,,13507
allsides,allsides_gun_control_and_gun_rights_r_5,cot_fewshot,no_summary,,3144
allsides,allsides_gun_control_and_gun_rights_r_5,cot,ok,,4313
allsides,allsides_gun_control_and_gun_rights_r_5,oracle,ok,,3658
allsides,allsides_gun_control_and_gun_rights_r_5,simple_fewshot_mft,ok,,3054
allsides,allsides_gun_control_and_gun_rights_r_5,simple_fewshot,ok,,2613
allsides,allsides_gun_control_and_gun_rights_r_5,simple,ok,,2831
allsides,allsides_gun_control_and_gun_rights_r_5,vanilla,ok,,2858
