metric,dataset,strategy,mean
moral_count,all,vanilla,6.33
moral_count,all,simple,6.88
moral_count,all,cot,7.4
moral_count,all,oracle,10.87
moral_count,all,simple_fewshot,6.96
moral_count,all,cot_fewshot,8.11
moral_count,all,simple_fewshot_mft,6.71
moral_count,all,cot_fewshot_mft,7.82
moral_count,allsides,vanilla,6.33
moral_count,allsides,simple,6.88
moral_count,allsides,cot,7.4
moral_count,allsides,oracle,10.87
moral_count,allsides,simple_fewshot,6.96
moral_count,allsides,cot_fewshot,8.11
moral_count,allsides,simple_fewshot_mft,6.71
moral_count,allsides,cot_fewshot_mft,7.82
moral_count,basil,vanilla,
moral_count,basil,simple,
moral_count,basil,cot,
moral_count,basil,oracle,
moral_count,basil,simple_fewshot,
moral_count,basil,cot_fewshot,
moral_count,basil,simple_fewshot_mft,
moral_count,basil,cot_fewshot_mft,
moral_count,mpqa,vanilla,
moral_count,mpqa,simple,
moral_count,mpqa,cot,
moral_count,mpqa,oracle,
moral_count,mpqa,simple_fewshot,
moral_count,mpqa,cot_fewshot,
moral_count,mpqa,simple_fewshot_mft,
moral_count,mpqa,cot_fewshot_mft,
moral_div,all,vanilla,0.27
moral_div,all,simple,0.25
moral_div,all,cot,0.24
moral_div,all,oracle,0.17
moral_div,all,simple_fewshot,0.25
moral_div,all,cot_fewshot,0.22
moral_div,all,simple_fewshot_mft,0.27
moral_div,all,cot_fewshot_mft,0.23
moral_div,allsides,vanilla,0.27
moral_div,allsides,simple,0.25
moral_div,allsides,cot,0.24
moral_div,allsides,oracle,0.17
moral_div,allsides,simple_fewshot,0.25
moral_div,allsides,cot_fewshot,0.22
moral_div,allsides,simple_fewshot_mft,0.27
moral_div,allsides,cot_fewshot_mft,0.23
moral_div,basil,vanilla,
moral_div,basil,simple,
moral_div,basil,cot,
moral_div,basil,oracle,
moral_div,basil,simple_fewshot,
moral_div,basil,cot_fewshot,
moral_div,basil,simple_fewshot_mft,
moral_div,basil,cot_fewshot_mft,
moral_div,mpqa,vanilla,
moral_div,mpqa,simple,
moral_div,mpqa,cot,
moral_div,mpqa,oracle,
moral_div,mpqa,simple_fewshot,
moral_div,mpqa,cot_fewshot,
moral_div,mpqa,simple_fewshot_mft,
moral_div,mpqa,cot_fewshot_mft,
length,all,vanilla,142.38
length,all,simple,156.85
length,all,cot,154.1
length,all,oracle,167.92
length,all,simple_fewshot,161.75
length,all,cot_fewshot,163.0
length,all,simple_fewshot_mft,165.88
length,all,cot_fewshot_mft,171.82
length,allsides,vanilla,142.38
length,allsides,simple,156.85
length,allsides,cot,154.1
length,allsides,oracle,167.92
length,allsides,simple_fewshot,161.75
length,allsides,cot_fewshot,163.0
length,allsides,simple_fewshot_mft,165.88
length,allsides,cot_fewshot_mft,171.82
length,basil,vanilla,
length,basil,simple,
length,basil,cot,
length,basil,oracle,
length,basil,simple_fewshot,
length,basil,cot_fewshot,
length,basil,simple_fewshot_mft,
length,basil,cot_fewshot_mft,
length,mpqa,vanilla,
length,mpqa,simple,
length,mpqa,cot,
length,mpqa,oracle,
length,mpqa,simple_fewshot,
length,mpqa,cot_fewshot,
length,mpqa,simple_fewshot_mft,
length,mpqa,cot_fewshot_mft,
