dataset,article,strategy,value,metric
allsides,allsides_abortion_c_1,vanilla,2.0,moral_count
allsides,allsides_abortion_c_2,vanilla,9.0,moral_count
allsides,allsides_abortion_c_3,vanilla,3.0,moral_count
allsides,allsides_abortion_c_4,vanilla,5.0,moral_count
allsides,allsides_abortion_c_5,vanilla,1.0,moral_count
allsides,allsides_abortion_l_1,vanilla,8.0,moral_count
allsides,allsides_abortion_l_2,vanilla,4.0,moral_count
allsides,allsides_abortion_l_3,vanilla,9.0,moral_count
allsides,allsides_abortion_l_4,vanilla,8.0,moral_count
allsides,allsides_abortion_l_5,vanilla,3.0,moral_count
allsides,allsides_abortion_r_1,vanilla,4.0,moral_count
allsides,allsides_abortion_r_2,vanilla,3.0,moral_count
allsides,allsides_abortion_r_3,vanilla,7.0,moral_count
allsides,allsides_abortion_r_4,vanilla,6.0,moral_count
allsides,allsides_abortion_r_5,vanilla,8.0,moral_count
allsides,allsides_coronavirus_c_1,vanilla,1.0,moral_count
allsides,allsides_coronavirus_c_2,vanilla,12.0,moral_count
allsides,allsides_coronavirus_c_3,vanilla,4.0,moral_count
allsides,allsides_coronavirus_c_4,vanilla,1.0,moral_count
allsides,allsides_coronavirus_c_5,vanilla,5.0,moral_count
allsides,allsides_coronavirus_l_1,vanilla,3.0,moral_count
allsides,allsides_coronavirus_l_2,vanilla,6.0,moral_count
allsides,allsides_coronavirus_l_3,vanilla,6.0,moral_count
allsides,allsides_coronavirus_l_4,vanilla,6.0,moral_count
allsides,allsides_coronavirus_l_5,vanilla,6.0,moral_count
allsides,allsides_coronavirus_r_1,vanilla,2.0,moral_count
allsides,allsides_coronavirus_r_2,vanilla,7.0,moral_count
allsides,allsides_coronavirus_r_3,vanilla,8.0,moral_count
allsides,allsides_coronavirus_r_4,vanilla,3.0,moral_count
allsides,allsides_coronavirus_r_5,vanilla,10.0,moral_count
allsides,allsides_elections_c_1,vanilla,3.0,moral_count
allsides,allsides_elections_c_2,vanilla,0.0,moral_count
allsides,allsides_elections_c_3,vanilla,8.0,moral_count
allsides,allsides_elections_c_4,vanilla,3.0,moral_count
allsides,allsides_elections_c_5,vanilla,2.0,moral_count
allsides,allsides_elections_l_1,vanilla,7.0,moral_count
allsides,allsides_elections_l_2,vanilla,5.0,moral_count
allsides,allsides_elections_l_3,vanilla,7.0,moral_count
allsides,allsides_elections_l_4,vanilla,6.0,moral_count
allsides,allsides_elections_l_5,vanilla,0.0,moral_count
allsides,allsides_elections_r_1,vanilla,6.0,moral_count
allsides,allsides_elections_r_2,vanilla,3.0,moral_count
allsides,allsides_elections_r_3,vanilla,2.0,moral_count
allsides,allsides_elections_r_4,vanilla,5.0,moral_count
allsides,allsides_elections_r_5,vanilla,9.0,moral_count
allsides,allsides_gun_control_and_gun_rights_c_1,vanilla,8.0,moral_count
allsides,allsides_gun_control_and_gun_rights_c_2,vanilla,8.0,moral_count
allsides,allsides_gun_control_and_gun_rights_c_3,vanilla,2.0,moral_count
allsides,allsides_gun_control_and_gun_rights_c_4,vanilla,6.0,moral_count
allsides,allsides_gun_control_and_gun_rights_c_5,vanilla,7.0,moral_count
allsides,allsides_gun_control_and_gun_rights_l_1,vanilla,8.0,moral_count
allsides,allsides_gun_control_and_gun_rights_l_2,vanilla,3.0,moral_count
allsides,allsides_gun_control_and_gun_rights_l_3,vanilla,5.0,moral_count
allsides,allsides_gun_control_and_gun_rights_l_4,vanilla,8.0,moral_count
allsides,allsides_gun_control_and_gun_rights_l_5,vanilla,2.0,moral_count
allsides,allsides_gun_control_and_gun_rights_r_1,vanilla,7.0,moral_count
allsides,allsides_gun_control_and_gun_rights_r_2,vanilla,4.0,moral_count
allsides,allsides_gun_control_and_gun_rights_r_3,vanilla,11.0,moral_count
allsides,allsides_gun_control_and_gun_rights_r_4,vanilla,1.0,moral_count
allsides,allsides_gun_control_and_gun_rights_r_5,vanilla,9.0,moral_count
allsides,allsides_immigration_c_1,vanilla,3.0,moral_count
allsides,allsides_immigration_c_2,vanilla,6.0,moral_count
allsides,allsides_immigration_c_3,vanilla,9.0,moral_count
allsides,allsides_immigration_c_4,vanilla,10.0,moral_count
allsides,allsides_immigration_c_5,vanilla,4.0,moral_count
allsides,allsides_immigration_l_1,vanilla,6.0,moral_count
allsides,allsides_immigration_l_2,vanilla,11.0,moral_count
allsides,allsides_immigration_l_3,vanilla,5.0,moral_count
allsides,allsides_immigration_l_4,vanilla,7.0,moral_count
allsides,allsides_immigration_l_5,vanilla,12.0,moral_count
allsides,allsides_immigration_r_1,vanilla,6.0,moral_count
allsides,allsides_immigration_r_2,vanilla,8.0,moral_count
allsides,allsides_immigration_r_3,vanilla,5.0,moral_count
allsides,allsides_immigration_r_4,vanilla,9.0,moral_count
allsides,allsides_immigration_r_5,vanilla,4.0,moral_count
allsides,allsides_lgbt_rights_c_1,vanilla,10.0,moral_count
allsides,allsides_lgbt_rights_c_2,vanilla,6.0,moral_count
allsides,allsides_lgbt_rights_c_3,vanilla,3.0,moral_count
allsides,allsides_lgbt_rights_c_4,vanilla,5.0,moral_count
allsides,allsides_lgbt_rights_c_5,vanilla,2.0,moral_count
allsides,allsides_lgbt_rights_l_1,vanilla,6.0,moral_count
allsides,allsides_lgbt_rights_l_2,vanilla,9.0,moral_count
allsides,allsides_lgbt_rights_l_3,vanilla,8.0,moral_count
allsides,allsides_lgbt_rights_l_4,vanilla,3.0,moral_count
allsides,allsides_lgbt_rights_l_5,vanilla,7.0,moral_count
allsides,allsides_lgbt_rights_r_1,vanilla,9.0,moral_count
allsides,allsides_lgbt_rights_r_2,vanilla,4.0,moral_count
allsides,allsides_lgbt_rights_r_3,vanilla,9.0,moral_count
allsides,allsides_lgbt_rights_r_4,vanilla,2.0,moral_count
allsides,allsides_lgbt_rights_r_5,vanilla,12.0,moral_count
allsides,allsides_politics_c_1,vanilla,4.0,moral_count
allsides,allsides_politics_c_2,vanilla,6.0,moral_count
allsides,allsides_politics_c_3,vanilla,8.0,moral_count
allsides,allsides_politics_c_4,vanilla,8.0,moral_count
allsides,allsides_politics_c_5,vanilla,6.0,moral_count
allsides,allsides_politics_l_1,vanilla,8.0,moral_count
allsides,allsides_politics_l_2,vanilla,3.0,moral_count
allsides,allsides_politics_l_3,vanilla,5.0,moral_count
allsides,allsides_politics_l_4,vanilla,9.0,moral_count
allsides,allsides_politics_l_5,vanilla,,moral_count
allsides,allsides_politics_r_1,vanilla,4.0,moral_count
allsides,allsides_politics_r_2,vanilla,4.0,moral_count
allsides,allsides_politics_r_3,vanilla,1.0,moral_count
allsides,allsides_politics_r_4,vanilla,9.0,moral_count
allsides,allsides_politics_r_5,vanilla,5.0,moral_count
allsides,allsides_race_and_racism_c_1,vanilla,5.0,moral_count
allsides,allsides_race_and_racism_c_2,vanilla,1.0,moral_count
allsides,allsides_race_and_racism_c_3,vanilla,8.0,moral_count
allsides,allsides_race_and_racism_c_4,vanilla,8.0,moral_count
allsides,allsides_race_and_racism_c_5,vanilla,7.0,moral_count
allsides,allsides_race_and_racism_l_1,vanilla,10.0,moral_count
allsides,allsides_race_and_racism_l_2,vanilla,7.0,moral_count
allsides,allsides_race_and_racism_l_3,vanilla,8.0,moral_count
allsides,allsides_race_and_racism_l_4,vanilla,9.0,moral_count
allsides,allsides_race_and_racism_l_5,vanilla,5.0,moral_count
allsides,allsides_race_and_racism_r_1,vanilla,9.0,moral_count
allsides,allsides_race_and_racism_r_2,vanilla,10.0,moral_count
allsides,allsides_race_and_racism_r_3,vanilla,9.0,moral_count
allsides,allsides_race_and_racism_r_4,vanilla,9.0,moral_count
allsides,allsides_race_and_racism_r_5,vanilla,7.0,moral_count
allsides,allsides_us_house_c_1,vanilla,3.0,moral_count
allsides,allsides_us_house_c_2,vanilla,3.0,moral_count
allsides,allsides_us_house_c_3,vanilla,6.0,moral_count
allsides,allsides_us_house_c_4,vanilla,6.0,moral_count
allsides,allsides_us_house_c_5,vanilla,4.0,moral_count
allsides,allsides_us_house_l_1,vanilla,5.0,moral_count
allsides,allsides_us_house_l_2,vanilla,10.0,moral_count
allsides,allsides_us_house_l_3,vanilla,13.0,moral_count
allsides,allsides_us_house_l_4,vanilla,3.0,moral_count
allsides,allsides_us_house_l_5,vanilla,13.0,moral_count
