dataset,article,strategy,summac
allsides,allsides_abortion_c_1,cot,0.3272
allsides,allsides_abortion_c_1,cot_fewshot,0.2721
allsides,allsides_abortion_c_1,cot_fewshot_mft,0.2946
allsides,allsides_abortion_c_1,oracle,0.2303
allsides,allsides_abortion_c_1,simple,0.4367
allsides,allsides_abortion_c_1,simple_fewshot,0.447
allsides,allsides_abortion_c_1,simple_fewshot_mft,0.2301
allsides,allsides_abortion_c_1,vanilla,0.315
allsides,allsides_abortion_c_2,cot,0.2322
allsides,allsides_abortion_c_2,cot_fewshot,0.2445
allsides,allsides_abortion_c_2,cot_fewshot_mft,0.2474
allsides,allsides_abortion_c_2,oracle,0.334
allsides,allsides_abortion_c_2,simple,0.2984
allsides,allsides_abortion_c_2,simple_fewshot,0.2405
allsides,allsides_abortion_c_2,simple_fewshot_mft,0.2404
allsides,allsides_abortion_c_2,vanilla,0.3013
allsides,allsides_abortion_c_3,cot,0.2908
allsides,allsides_abortion_c_3,cot_fewshot,0.2384
allsides,allsides_abortion_c_3,cot_fewshot_mft,0.2502
allsides,allsides_abortion_c_3,oracle,0.3087
allsides,allsides_abortion_c_3,simple,0.2297
allsides,allsides_abortion_c_3,simple_fewshot,0.2353
allsides,allsides_abortion_c_3,simple_fewshot_mft,0.2354
allsides,allsides_abortion_c_3,vanilla,0.3575
allsides,allsides_abortion_c_4,cot,0.245
allsides,allsides_abortion_c_4,cot_fewshot,0.3081
allsides,allsides_abortion_c_4,cot_fewshot_mft,0.2547
allsides,allsides_abortion_c_4,oracle,0.2361
allsides,allsides_abortion_c_4,simple,0.2514
allsides,allsides_abortion_c_4,simple_fewshot,0.2458
allsides,allsides_abortion_c_4,simple_fewshot_mft,0.2456
allsides,allsides_abortion_c_4,vanilla,0.3428
allsides,allsides_abortion_c_5,cot,0.2476
allsides,allsides_abortion_c_5,cot_fewshot,0.2489
allsides,allsides_abortion_c_5,cot_fewshot_mft,0.2473
allsides,allsides_abortion_c_5,oracle,0.2311
allsides,allsides_abortion_c_5,simple,0.3145
allsides,allsides_abortion_c_5,simple_fewshot,0.2494
allsides,allsides_abortion_c_5,simple_fewshot_mft,0.2401
allsides,allsides_abortion_c_5,vanilla,0.2457
allsides,allsides_abortion_l_1,cot,0.2335
allsides,allsides_abortion_l_1,cot_fewshot,0.2373
allsides,allsides_abortion_l_1,cot_fewshot_mft,0.2637
allsides,allsides_abortion_l_1,oracle,0.2307
allsides,allsides_abortion_l_1,simple,0.2329
allsides,allsides_abortion_l_1,simple_fewshot,0.2333
allsides,allsides_abortion_l_1,simple_fewshot_mft,0.2437
allsides,allsides_abortion_l_1,vanilla,0.2279
allsides,allsides_abortion_l_2,cot,0.3253
allsides,allsides_abortion_l_2,cot_fewshot,0.2521
allsides,allsides_abortion_l_2,cot_fewshot_mft,0.2467
allsides,allsides_abortion_l_2,oracle,0.2391
allsides,allsides_abortion_l_2,simple,0.2515
allsides,allsides_abortion_l_2,simple_fewshot,0.2559
allsides,allsides_abortion_l_2,simple_fewshot_mft,0.2516
allsides,allsides_abortion_l_2,vanilla,0.2445
allsides,allsides_abortion_l_3,cot,0.2755
allsides,allsides_abortion_l_3,cot_fewshot,0.2542
allsides,allsides_abortion_l_3,cot_fewshot_mft,0.2594
allsides,allsides_abortion_l_3,oracle,0.3438
allsides,allsides_abortion_l_3,simple,0.264
allsides,allsides_abortion_l_3,simple_fewshot,0.2683
allsides,allsides_abortion_l_3,simple_fewshot_mft,0.2738
allsides,allsides_abortion_l_3,vanilla,0.266
allsides,allsides_abortion_l_4,cot,0.2712
allsides,allsides_abortion_l_4,cot_fewshot,0.3151
allsides,allsides_abortion_l_4,cot_fewshot_mft,0.2817
allsides,allsides_abortion_l_4,oracle,0.3014
allsides,allsides_abortion_l_4,simple,0.3252
allsides,allsides_abortion_l_4,simple_fewshot,0.3116
allsides,allsides_abortion_l_4,simple_fewshot_mft,0.2713
allsides,allsides_abortion_l_4,vanilla,0.3007
allsides,allsides_abortion_l_5,cot,0.2848
allsides,allsides_abortion_l_5,cot_fewshot,0.2554
allsides,allsides_abortion_l_5,cot_fewshot_mft,0.2725
allsides,allsides_abortion_l_5,oracle,0.3078
allsides,allsides_abortion_l_5,simple,0.2525
allsides,allsides_abortion_l_5,simple_fewshot,0.2543
allsides,allsides_abortion_l_5,simple_fewshot_mft,0.2514
allsides,allsides_abortion_l_5,vanilla,0.3162
allsides,allsides_abortion_r_1,cot,0.2346
allsides,allsides_abortion_r_1,cot_fewshot,0.2207
allsides,allsides_abortion_r_1,cot_fewshot_mft,0.2421
allsides,allsides_abortion_r_1,oracle,0.2466
allsides,allsides_abortion_r_1,simple,0.2244
allsides,allsides_abortion_r_1,simple_fewshot,0.2253
allsides,allsides_abortion_r_1,simple_fewshot_mft,0.2377
allsides,allsides_abortion_r_1,vanilla,0.2648
allsides,allsides_abortion_r_2,cot,0.2672
allsides,allsides_abortion_r_2,cot_fewshot,0.3199
allsides,allsides_abortion_r_2,cot_fewshot_mft,0.2628
allsides,allsides_abortion_r_2,oracle,0.2525
allsides,allsides_abortion_r_2,simple,0.2917
allsides,allsides_abortion_r_2,simple_fewshot,0.2578
allsides,allsides_abortion_r_2,simple_fewshot_mft,0.2559
allsides,allsides_abortion_r_2,vanilla,0.2648
allsides,allsides_abortion_r_3,cot,0.2287
allsides,allsides_abortion_r_3,cot_fewshot,0.2356
allsides,allsides_abortion_r_3,cot_fewshot_mft,0.2326
allsides,allsides_abortion_r_3,oracle,0.3154
allsides,allsides_abortion_r_3,simple,0.3382
allsides,allsides_abortion_r_3,simple_fewshot,0.3521
allsides,allsides_abortion_r_3,simple_fewshot_mft,0.2346
allsides,allsides_abortion_r_3,vanilla,0.2869
allsides,allsides_abortion_r_4,cot,0.2659
allsides,allsides_abortion_r_4,cot_fewshot,-1.0
allsides,allsides_abortion_r_4,cot_fewshot_mft,0.2762
allsides,allsides_abortion_r_4,oracle,0.2831
allsides,allsides_abortion_r_4,simple,0.2856
allsides,allsides_abortion_r_4,simple_fewshot,0.2493
allsides,allsides_abortion_r_4,simple_fewshot_mft,0.2588
allsides,allsides_abortion_r_4,vanilla,0.2798
allsides,allsides_abortion_r_5,cot,0.2998
allsides,allsides_abortion_r_5,cot_fewshot,0.2361
allsides,allsides_abortion_r_5,cot_fewshot_mft,0.2441
allsides,allsides_abortion_r_5,oracle,0.2444
allsides,allsides_abortion_r_5,simple,0.2599
allsides,allsides_abortion_r_5,simple_fewshot,0.242
allsides,allsides_abortion_r_5,simple_fewshot_mft,0.246
allsides,allsides_abortion_r_5,vanilla,0.2492
allsides,allsides_coronavirus_c_1,cot,0.3184
allsides,allsides_coronavirus_c_1,cot_fewshot,0.2887
allsides,allsides_coronavirus_c_1,cot_fewshot_mft,0.2764
allsides,allsides_coronavirus_c_1,oracle,0.2876
allsides,allsides_coronavirus_c_1,simple,0.2681
allsides,allsides_coronavirus_c_1,simple_fewshot,0.3156
allsides,allsides_coronavirus_c_1,simple_fewshot_mft,0.3372
allsides,allsides_coronavirus_c_1,vanilla,0.2649
allsides,allsides_coronavirus_c_2,cot,0.2364
allsides,allsides_coronavirus_c_2,cot_fewshot,0.2421
allsides,allsides_coronavirus_c_2,cot_fewshot_mft,0.2457
allsides,allsides_coronavirus_c_2,oracle,0.2365
allsides,allsides_coronavirus_c_2,simple,0.237
allsides,allsides_coronavirus_c_2,simple_fewshot,0.2331
allsides,allsides_coronavirus_c_2,simple_fewshot_mft,0.2346
allsides,allsides_coronavirus_c_2,vanilla,0.508
allsides,allsides_coronavirus_c_3,cot,0.2647
allsides,allsides_coronavirus_c_3,cot_fewshot,0.2756
allsides,allsides_coronavirus_c_3,cot_fewshot_mft,0.3071
allsides,allsides_coronavirus_c_3,oracle,0.2893
allsides,allsides_coronavirus_c_3,simple,0.2474
allsides,allsides_coronavirus_c_3,simple_fewshot,0.2549
allsides,allsides_coronavirus_c_3,simple_fewshot_mft,0.2572
allsides,allsides_coronavirus_c_3,vanilla,0.2375
allsides,allsides_coronavirus_c_4,cot,0.2505
allsides,allsides_coronavirus_c_4,cot_fewshot,0.2757
allsides,allsides_coronavirus_c_4,cot_fewshot_mft,-1.0
allsides,allsides_coronavirus_c_4,oracle,0.2676
allsides,allsides_coronavirus_c_4,simple,0.2409
allsides,allsides_coronavirus_c_4,simple_fewshot,0.2322
allsides,allsides_coronavirus_c_4,simple_fewshot_mft,0.2479
allsides,allsides_coronavirus_c_4,vanilla,0.3065
allsides,allsides_coronavirus_c_5,cot,0.2412
allsides,allsides_coronavirus_c_5,cot_fewshot,0.2454
allsides,allsides_coronavirus_c_5,cot_fewshot_mft,0.2444
allsides,allsides_coronavirus_c_5,oracle,0.2426
allsides,allsides_coronavirus_c_5,simple,0.2377
allsides,allsides_coronavirus_c_5,simple_fewshot,0.2282
allsides,allsides_coronavirus_c_5,simple_fewshot_mft,0.2442
allsides,allsides_coronavirus_c_5,vanilla,0.2346
allsides,allsides_coronavirus_l_1,cot,0.2461
allsides,allsides_coronavirus_l_1,cot_fewshot,0.3069
allsides,allsides_coronavirus_l_1,cot_fewshot_mft,0.2498
allsides,allsides_coronavirus_l_1,oracle,0.3006
allsides,allsides_coronavirus_l_1,simple,0.2316
allsides,allsides_coronavirus_l_1,simple_fewshot,0.2356
allsides,allsides_coronavirus_l_1,simple_fewshot_mft,0.2526
allsides,allsides_coronavirus_l_1,vanilla,0.232
allsides,allsides_coronavirus_l_2,cot,0.2926
allsides,allsides_coronavirus_l_2,cot_fewshot,0.3623
allsides,allsides_coronavirus_l_2,cot_fewshot_mft,0.2982
allsides,allsides_coronavirus_l_2,oracle,0.3241
allsides,allsides_coronavirus_l_2,simple,0.2468
allsides,allsides_coronavirus_l_2,simple_fewshot,0.2492
allsides,allsides_coronavirus_l_2,simple_fewshot_mft,0.2511
allsides,allsides_coronavirus_l_2,vanilla,0.2438
allsides,allsides_coronavirus_l_3,cot,0.4524
allsides,allsides_coronavirus_l_3,cot_fewshot,0.3989
allsides,allsides_coronavirus_l_3,cot_fewshot_mft,0.366
allsides,allsides_coronavirus_l_3,oracle,0.345
allsides,allsides_coronavirus_l_3,simple,0.2975
allsides,allsides_coronavirus_l_3,simple_fewshot,0.2844
allsides,allsides_coronavirus_l_3,simple_fewshot_mft,0.3288
allsides,allsides_coronavirus_l_3,vanilla,0.2989
allsides,allsides_coronavirus_l_4,cot,0.2783
allsides,allsides_coronavirus_l_4,cot_fewshot,0.2917
allsides,allsides_coronavirus_l_4,cot_fewshot_mft,0.2232
allsides,allsides_coronavirus_l_4,oracle,0.3295
allsides,allsides_coronavirus_l_4,simple,0.229
allsides,allsides_coronavirus_l_4,simple_fewshot,0.217
allsides,allsides_coronavirus_l_4,simple_fewshot_mft,0.2252
allsides,allsides_coronavirus_l_4,vanilla,0.2411
allsides,allsides_coronavirus_l_5,cot,0.2478
allsides,allsides_coronavirus_l_5,cot_fewshot,0.2539
allsides,allsides_coronavirus_l_5,cot_fewshot_mft,0.2526
allsides,allsides_coronavirus_l_5,oracle,0.3493
allsides,allsides_coronavirus_l_5,simple,0.2682
allsides,allsides_coronavirus_l_5,simple_fewshot,0.2522
allsides,allsides_coronavirus_l_5,simple_fewshot_mft,0.2532
allsides,allsides_coronavirus_l_5,vanilla,0.2553
allsides,allsides_coronavirus_r_1,cot,0.236
allsides,allsides_coronavirus_r_1,cot_fewshot,0.2504
allsides,allsides_coronavirus_r_1,cot_fewshot_mft,0.24
allsides,allsides_coronavirus_r_1,oracle,0.2472
allsides,allsides_coronavirus_r_1,simple,0.2621
allsides,allsides_coronavirus_r_1,simple_fewshot,0.2583
allsides,allsides_coronavirus_r_1,simple_fewshot_mft,0.2551
allsides,allsides_coronavirus_r_1,vanilla,0.2364
allsides,allsides_coronavirus_r_2,cot,0.2958
allsides,allsides_coronavirus_r_2,cot_fewshot,0.2312
allsides,allsides_coronavirus_r_2,cot_fewshot_mft,-1.0
allsides,allsides_coronavirus_r_2,oracle,0.2952
allsides,allsides_coronavirus_r_2,simple,0.2359
allsides,allsides_coronavirus_r_2,simple_fewshot,0.2384
allsides,allsides_coronavirus_r_2,simple_fewshot_mft,0.2514
allsides,allsides_coronavirus_r_2,vanilla,0.2423
allsides,allsides_coronavirus_r_3,cot,0.2565
allsides,allsides_coronavirus_r_3,cot_fewshot,0.2406
allsides,allsides_coronavirus_r_3,cot_fewshot_mft,0.2489
allsides,allsides_coronavirus_r_3,oracle,0.2357
allsides,allsides_coronavirus_r_3,simple,0.2895
allsides,allsides_coronavirus_r_3,simple_fewshot,0.2366
allsides,allsides_coronavirus_r_3,simple_fewshot_mft,0.2367
allsides,allsides_coronavirus_r_3,vanilla,0.4205
allsides,allsides_coronavirus_r_4,cot,0.3282
allsides,allsides_coronavirus_r_4,cot_fewshot,0.222
allsides,allsides_coronavirus_r_4,cot_fewshot_mft,0.3405
allsides,allsides_coronavirus_r_4,oracle,0.3756
allsides,allsides_coronavirus_r_4,simple,0.2778
allsides,allsides_coronavirus_r_4,simple_fewshot,0.29
allsides,allsides_coronavirus_r_4,simple_fewshot_mft,0.2278
allsides,allsides_coronavirus_r_4,vanilla,0.3308
allsides,allsides_coronavirus_r_5,cot,0.4275
allsides,allsides_coronavirus_r_5,cot_fewshot,0.2619
allsides,allsides_coronavirus_r_5,cot_fewshot_mft,0.2557
allsides,allsides_coronavirus_r_5,oracle,0.2538
allsides,allsides_coronavirus_r_5,simple,0.2466
allsides,allsides_coronavirus_r_5,simple_fewshot,0.2456
allsides,allsides_coronavirus_r_5,simple_fewshot_mft,0.2577
allsides,allsides_coronavirus_r_5,vanilla,0.2403
allsides,allsides_elections_c_1,cot,0.259
allsides,allsides_elections_c_1,cot_fewshot,0.2668
allsides,allsides_elections_c_1,cot_fewshot_mft,0.2887
allsides,allsides_elections_c_1,oracle,0.2814
allsides,allsides_elections_c_1,simple,0.2623
allsides,allsides_elections_c_1,simple_fewshot,0.2572
allsides,allsides_elections_c_1,simple_fewshot_mft,0.2929
allsides,allsides_elections_c_1,vanilla,0.3273
allsides,allsides_elections_c_2,cot,0.4132
