metric,dataset,strategy,mean
moral_count,all,vanilla,5.85
moral_count,all,simple,5.98
moral_count,all,cot,6.14
moral_count,all,oracle,11.04
moral_count,all,simple_fewshot,5.68
moral_count,all,cot_fewshot,6.62
moral_count,all,simple_fewshot_mft,6.14
moral_count,all,cot_fewshot_mft,6.59
moral_count,allsides,vanilla,7.32
moral_count,allsides,simple,7.64
moral_count,allsides,cot,7.93
moral_count,allsides,oracle,12.1
moral_count,allsides,simple_fewshot,7.21
moral_count,allsides,cot_fewshot,8.06
moral_count,allsides,simple_fewshot_mft,7.52
moral_count,allsides,cot_fewshot_mft,7.99
moral_count,basil,vanilla,4.34
moral_count,basil,simple,4.68
moral_count,basil,cot,5.27
moral_count,basil,oracle,9.67
moral_count,basil,simple_fewshot,4.18
moral_count,basil,cot_fewshot,5.12
moral_count,basil,simple_fewshot_mft,4.81
moral_count,basil,cot_fewshot_mft,5.24
moral_count,mpqa,vanilla,5.31
moral_count,mpqa,simple,4.77
moral_count,mpqa,cot,4.46
moral_count,mpqa,oracle,11.05
moral_count,mpqa,simple_fewshot,4.71
moral_count,mpqa,cot_fewshot,6.16
moral_count,mpqa,simple_fewshot_mft,5.41
moral_count,mpqa,cot_fewshot_mft,5.86
moral_div,all,vanilla,0.25
moral_div,all,simple,0.26
moral_div,all,cot,0.24
moral_div,all,oracle,0.16
moral_div,all,simple_fewshot,0.26
moral_div,all,cot_fewshot,0.23
moral_div,all,simple_fewshot_mft,0.25
moral_div,all,cot_fewshot_mft,0.24
moral_div,allsides,vanilla,0.25
moral_div,allsides,simple,0.24
moral_div,allsides,cot,0.24
moral_div,allsides,oracle,0.17
moral_div,allsides,simple_fewshot,0.24
moral_div,allsides,cot_fewshot,0.23
moral_div,allsides,simple_fewshot_mft,0.24
moral_div,allsides,cot_fewshot_mft,0.23
moral_div,basil,vanilla,0.26
moral_div,basil,simple,0.27
moral_div,basil,cot,0.26
moral_div,basil,oracle,0.17
moral_div,basil,simple_fewshot,0.29
moral_div,basil,cot_fewshot,0.24
moral_div,basil,simple_fewshot_mft,0.26
moral_div,basil,cot_fewshot_mft,0.24
moral_div,mpqa,vanilla,0.22
moral_div,mpqa,simple,0.26
moral_div,mpqa,cot,0.22
moral_div,mpqa,oracle,0.14
moral_div,mpqa,simple_fewshot,0.25
moral_div,mpqa,cot_fewshot,0.22
moral_div,mpqa,simple_fewshot_mft,0.22
moral_div,mpqa,cot_fewshot_mft,0.23
length,all,vanilla,174.54
length,all,simple,174.76
length,all,cot,149.12
length,all,oracle,185.16
length,all,simple_fewshot,159.71
length,all,cot_fewshot,161.26
length,all,simple_fewshot_mft,181.65
length,all,cot_fewshot_mft,156.99
length,allsides,vanilla,176.63
length,allsides,simple,175.1
length,allsides,cot,152.42
length,allsides,oracle,185.33
length,allsides,simple_fewshot,160.3
length,allsides,cot_fewshot,152.83
length,allsides,simple_fewshot_mft,184.29
length,allsides,cot_fewshot_mft,156.88
length,basil,vanilla,173.16
length,basil,simple,175.58
length,basil,cot,150.6
length,basil,oracle,188.91
length,basil,simple_fewshot,160.28
length,basil,cot_fewshot,175.83
length,basil,simple_fewshot_mft,181.98
length,basil,cot_fewshot_mft,160.47
length,mpqa,vanilla,172.14
length,mpqa,simple,172.27
length,mpqa,cot,140.25
length,mpqa,oracle,177.21
length,mpqa,simple_fewshot,156.98
length,mpqa,cot_fewshot,151.39
length,mpqa,simple_fewshot_mft,174.13
length,mpqa,cot_fewshot_mft,149.84
