metric,dataset,strategy,mean
moral_count,all,vanilla,6.82
moral_count,all,simple,7.23
moral_count,all,cot,8.14
moral_count,all,oracle,11.19
moral_count,all,simple_fewshot,6.86
moral_count,all,cot_fewshot,8.04
moral_count,all,simple_fewshot_mft,6.83
moral_count,all,cot_fewshot_mft,8.04
moral_count,allsides,vanilla,7.33
moral_count,allsides,simple,7.81
moral_count,allsides,cot,8.67
moral_count,allsides,oracle,11.89
moral_count,allsides,simple_fewshot,7.4
moral_count,allsides,cot_fewshot,8.6
moral_count,allsides,simple_fewshot_mft,7.33
moral_count,allsides,cot_fewshot_mft,8.65
moral_count,basil,vanilla,4.03
moral_count,basil,simple,4.12
moral_count,basil,cot,5.32
moral_count,basil,oracle,7.44
moral_count,basil,simple_fewshot,4.03
moral_count,basil,cot_fewshot,4.97
moral_count,basil,simple_fewshot_mft,4.18
moral_count,basil,cot_fewshot_mft,4.79
moral_count,mpqa,vanilla,
moral_count,mpqa,simple,
moral_count,mpqa,cot,
moral_count,mpqa,oracle,
moral_count,mpqa,simple_fewshot,
moral_count,mpqa,cot_fewshot,
moral_count,mpqa,simple_fewshot_mft,
moral_count,mpqa,cot_fewshot_mft,
moral_div,all,vanilla,0.25
moral_div,all,simple,0.24
moral_div,all,cot,0.22
moral_div,all,oracle,0.17
moral_div,all,simple_fewshot,0.26
moral_div,all,cot_fewshot,0.23
moral_div,all,simple_fewshot_mft,0.25
moral_div,all,cot_fewshot_mft,0.23
moral_div,allsides,vanilla,0.25
moral_div,allsides,simple,0.24
moral_div,allsides,cot,0.22
moral_div,allsides,oracle,0.17
moral_div,allsides,simple_fewshot,0.26
moral_div,allsides,cot_fewshot,0.23
moral_div,allsides,simple_fewshot_mft,0.25
moral_div,allsides,cot_fewshot_mft,0.23
moral_div,basil,vanilla,0.25
moral_div,basil,simple,0.29
moral_div,basil,cot,0.23
moral_div,basil,oracle,0.15
moral_div,basil,simple_fewshot,0.27
moral_div,basil,cot_fewshot,0.26
moral_div,basil,simple_fewshot_mft,0.27
moral_div,basil,cot_fewshot_mft,0.26
moral_div,mpqa,vanilla,
moral_div,mpqa,simple,
moral_div,mpqa,cot,
moral_div,mpqa,oracle,
moral_div,mpqa,simple_fewshot,
moral_div,mpqa,cot_fewshot,
moral_div,mpqa,simple_fewshot_mft,
moral_div,mpqa,cot_fewshot_mft,
length,all,vanilla,154.36
length,all,simple,161.76
length,all,cot,151.26
length,all,oracle,176.12
length,all,simple_fewshot,166.38
length,all,cot_fewshot,144.52
length,all,simple_fewshot_mft,179.42
length,all,cot_fewshot_mft,145.76
length,allsides,vanilla,154.5
length,allsides,simple,161.68
length,allsides,cot,151.31
length,allsides,oracle,177.05
length,allsides,simple_fewshot,166.75
length,allsides,cot_fewshot,144.94
length,allsides,simple_fewshot_mft,179.22
length,allsides,cot_fewshot_mft,145.99
length,basil,vanilla,153.58
length,basil,simple,162.18
length,basil,cot,151.0
length,basil,oracle,171.18
length,basil,simple_fewshot,164.41
length,basil,cot_fewshot,142.21
length,basil,simple_fewshot_mft,180.44
length,basil,cot_fewshot_mft,144.5
length,mpqa,vanilla,
length,mpqa,simple,
length,mpqa,cot,
length,mpqa,oracle,
length,mpqa,simple_fewshot,
length,mpqa,cot_fewshot,
length,mpqa,simple_fewshot_mft,
length,mpqa,cot_fewshot_mft,
